Date,Open,High,Low,Close,Adj Close,Volume
2020-11-18,3.460000,3.510000,2.780000,2.890000,2.890000,49980500
2020-11-19,3.060000,3.240000,2.950000,3.090000,3.090000,21534000
2020-11-20,3.180000,3.500000,3.140000,3.390000,3.390000,30386300
2020-11-23,3.730000,4.960000,3.680000,4.920000,4.920000,55605000
2020-11-24,6.010000,6.050000,4.270000,4.910000,4.910000,50743800
2020-11-25,5.090000,5.450000,5.000000,5.120000,5.120000,22889600
2020-11-27,4.190000,4.630000,4.030000,4.280000,4.280000,18155600
2020-11-30,5.140000,6.280000,5.050000,6.280000,6.280000,69432100
2020-12-01,5.860000,6.800000,5.550000,6.190000,6.190000,35822300
2020-12-02,5.980000,6.010000,5.460000,5.760000,5.760000,15836100
2020-12-03,5.960000,6.180000,5.660000,5.910000,5.910000,25417500
2020-12-04,5.760000,5.900000,5.370000,5.400000,5.400000,22191100
2020-12-07,5.400000,6.040000,5.390000,5.510000,5.510000,21467800
2020-12-08,5.420000,5.490000,5.070000,5.180000,5.180000,13333500
2020-12-09,5.230000,5.340000,4.520000,4.780000,4.780000,16146300
2020-12-10,4.510000,5.290000,4.500000,5.220000,5.220000,12805000
2020-12-11,4.980000,5.170000,4.660000,4.750000,4.750000,10126500
2020-12-14,5.320000,5.860000,5.140000,5.540000,5.540000,23564900
2020-12-15,5.700000,7.160000,5.530000,7.070000,7.070000,38775400
2020-12-16,8.180000,8.850000,7.650000,8.230000,8.230000,88747800
2020-12-17,9.660000,10.450000,9.030000,9.470000,9.470000,89585900
2020-12-18,8.800000,10.190000,8.430000,9.310000,9.310000,42205500
2020-12-21,9.110000,11.550000,9.050000,11.500000,11.500000,50428000
2020-12-22,12.950000,14.080000,12.230000,13.970000,13.970000,55643900
2020-12-23,13.680000,13.850000,10.790000,10.810000,10.810000,41595300
2020-12-24,11.670000,12.350000,10.550000,10.920000,10.920000,19138200
2020-12-28,14.000000,14.660000,12.100000,12.250000,12.250000,58753600
2020-12-29,12.230000,12.540000,11.090000,11.760000,11.760000,28427100
2020-12-30,12.560000,12.950000,10.710000,10.880000,10.880000,55300400
2020-12-31,10.870000,11.610000,9.620000,10.440000,10.440000,36916400
2021-01-04,12.480000,12.490000,10.530000,11.010000,11.010000,35826600
2021-01-05,10.700000,14.300000,10.690000,13.590000,13.590000,61984100
2021-01-06,14.580000,17.580000,14.250000,16.959999,16.959999,83119900
2021-01-07,20.180000,24.350000,18.549999,22.360001,22.360001,118963600
2021-01-08,25.059999,28.370001,23.799999,26.389999,26.389999,97428200
2021-01-11,20.000000,25.440001,19.600000,23.360001,23.360001,93551100
2021-01-12,24.000000,26.920000,22.809999,26.150000,26.150000,57414200
2021-01-13,22.389999,23.660000,21.650000,23.000000,23.000000,69463000
2021-01-14,25.910000,26.549999,23.730000,24.440001,24.440001,55343600
2021-01-15,23.100000,23.670000,21.850000,22.389999,22.389999,33851100
2021-01-19,23.820000,23.930000,22.040001,22.350000,22.350000,28223700
2021-01-20,21.110001,21.379999,17.590000,19.270000,19.270000,45124100
2021-01-21,16.450001,19.100000,15.720000,17.559999,17.559999,51838200
2021-01-22,18.770000,19.850000,17.950001,18.299999,18.299999,41305200
2021-01-25,19.500000,19.570000,17.450001,18.219999,18.219999,24655900
2021-01-26,17.500000,19.590000,17.010000,18.600000,18.600000,29926800
2021-01-27,17.090000,18.430000,16.480000,17.650000,17.650000,17609100
2021-01-28,18.389999,21.959999,17.160000,19.900000,19.900000,39673500
2021-01-29,24.139999,24.180000,19.650000,20.740000,20.740000,43378300
2021-02-01,20.580000,21.160000,19.350000,20.740000,20.740000,17122600
2021-02-02,21.389999,23.410000,20.299999,22.740000,22.740000,23919100
2021-02-03,23.000000,24.959999,22.799999,23.670000,23.670000,26745800
2021-02-04,24.000000,24.090000,21.860001,22.799999,22.799999,21042000
2021-02-05,23.100000,23.889999,21.900000,22.520000,22.520000,16620800
2021-02-08,26.940001,32.070000,25.650000,32.070000,32.070000,73091600
2021-02-09,35.509998,39.740002,33.529999,37.590000,37.590000,57665400
2021-02-10,34.660000,36.349998,30.629999,34.009998,34.009998,30291700
2021-02-11,38.299999,41.000000,36.000000,37.270000,37.270000,38459700
2021-02-12,37.889999,40.990002,36.310001,38.459999,38.459999,31026300
2021-02-16,41.959999,45.259998,41.250000,43.560001,43.560001,29144000
2021-02-17,46.029999,49.410000,43.650002,47.900002,47.900002,35069000
2021-02-18,44.180000,47.720001,40.720001,40.980000,40.980000,24599800
